Customer Code,Customer Name
AOE,Audi Eatontown
AOT,Acura Turnersville
AUT,Audi Turnersville
BAH,Bel Air Honda
BFB,Berglund Ford of Bedford
BFS,Berglund Ford of Salem
BHH,Barbour Hendrick Honda 
BMT,BMW of Turnersville
BOT,BMW of Tenafly
BRH,Brannon Honda
CMN,Chris Myers Nissan
COC,Charlie Obaugh Chevrolet
GAT,Gateway Toyota
HAV,Honda of Aventura 
HDC,Hudson Chrysler Jeep Dodge
HDN,Hudson Nissan
HDT,Hudson Toyota
HHB,Hendrick Honda Bradenton 
HON,DCH Honda of Nanuet
HYT,Hyundai of Turnersville
IOW,Infiniti of Warwick
JHD,James Hodge Dodge Chrysler Jeep
JHT,James Hodge Toyota
JIN,Jack Ingram Nissan
JSS,Jay Hodge Chevrolet
LEN,Lee Nissan
LOE,Lexus of Edison
LOW,Lexus of Warwick
MAG,McGrath Auto Group
MCT,Mike Calvert Toyota
MKB,McKenzie Buick GMC
MTS,Miller Toyota Scion
NOW,Nissan West Warwick
NSM,Nissan of San Marcos
RDB,Ross Downing Buick GMC Cadillac
RDC,Ross Downing Chevrolet
RMF,Red McCombs Ford
RMH,Red McCombs Hyundai
SCD,Scott Cadillac
SCH,Scott Chevrolet
SMZ,Scott Mazda
THY,Tuscaloosa Hyundai
TOB,Toyota of Boerne
TOL,Toyota of Longview
TOT,Toyota of Turnersville
VVW,Ventura Volkswagen
WTS,Warrenton Toyota Scion
